Action Sentence                                                                           ,Formatted Output
"បកក្រោយ 11.93 ម៉ែត្រ នៅល្បឿន 4.81 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 210 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 4.81, 'distance': 11.93, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 210, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 9.69 ម៉ែត្រ នៅល្បឿន 4.7 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 277 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 4.7, 'distance': 9.69, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 277, 'is_clockwise': False, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 9.17 ម៉ែត្រ នៅល្បឿន 4.84 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 84 ដឺក្រេ។"                     ,"{'action': 'move', 'params': {'linear_speed': 4.84, 'distance': 9.17, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 84, 'is_clockwise': False, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 2.49 ម៉ែត្រ នៅល្បឿន 1.33 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 15 ដឺក្រេ។"                      ,"{'action': 'move', 'params': {'linear_speed': 1.33, 'distance': 2.49, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 15, 'is_clockwise': True, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 7.42 ម៉ែត្រ នៅល្បឿន 1.31 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 249 ដឺក្រេ។"                    ,"{'action': 'move', 'params': {'linear_speed': 1.31, 'distance': 7.42, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 249, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 19.26 ម៉ែត្រ នៅល្បឿន 9.9 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 135 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 9.9, 'distance': 19.26, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 135, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 8.57 ម៉ែត្រ នៅល្បឿន 7.78 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 146 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 7.78, 'distance': 8.57, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 146, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 6.38 ម៉ែត្រ នៅល្បឿន 7.64 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 319 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 7.64, 'distance': 6.38, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 319, 'is_clockwise': True, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 10.65 ម៉ែត្រ នៅល្បឿន 5.13 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 239 ដឺក្រេ។"                   ,"{'action': 'move', 'params': {'linear_speed': 5.13, 'distance': 10.65, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 239, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 18.94 ម៉ែត្រ នៅល្បឿន 1.01 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 31 ដឺក្រេ។"                           ,"{'action': 'move', 'params': {'linear_speed': 1.01, 'distance': 18.94, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 31, 'is_clockwise': True, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 13.48 ម៉ែត្រ នៅល្បឿន 7.4 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 325 ដឺក្រេ។"                    ,"{'action': 'move', 'params': {'linear_speed': 7.4, 'distance': 13.48, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 325, 'is_clockwise': False, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 7.12 ម៉ែត្រ នៅល្បឿន 8.35 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 106 ដឺក្រេ។"                     ,"{'action': 'move', 'params': {'linear_speed': 8.35, 'distance': 7.12, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 106, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 9.73 ម៉ែត្រ នៅល្បឿន 2.97 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 74 ដឺក្រេ។"                           ,"{'action': 'move', 'params': {'linear_speed': 2.97, 'distance': 9.73, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 74, 'is_clockwise': False, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 19.47 ម៉ែត្រ នៅល្បឿន 2.25 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 221 ដឺក្រេ។"                 ,"{'action': 'move', 'params': {'linear_speed': 2.25, 'distance': 19.47, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 221, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 19.79 ម៉ែត្រ នៅល្បឿន 2.12 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 217 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 2.12, 'distance': 19.79, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 217, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 4.19 ម៉ែត្រ នៅល្បឿន 6.51 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 207 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 6.51, 'distance': 4.19, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 207, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 13.59 ម៉ែត្រ នៅល្បឿន 3.24 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 283 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 3.24, 'distance': 13.59, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 283, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 11.78 ម៉ែត្រ នៅល្បឿន 3.01 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 94 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 3.01, 'distance': 11.78, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 94, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 3.25 ម៉ែត្រ នៅល្បឿន 2.67 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 152 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 2.67, 'distance': 3.25, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 152, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 15.61 ម៉ែត្រ នៅល្បឿន 2.37 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 19 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 2.37, 'distance': 15.61, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 19, 'is_clockwise': True, 'unit': 'degree'}}"
"បកក្រោយ 5.81 ម៉ែត្រ នៅល្បឿន 8.11 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 300 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 8.11, 'distance': 5.81, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 300, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 16.9 ម៉ែត្រ នៅល្បឿន 8.02 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 212 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 8.02, 'distance': 16.9, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 212, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 8.45 ម៉ែត្រ នៅល្បឿន 4.45 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 38 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 4.45, 'distance': 8.45, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 38, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 6.02 ម៉ែត្រ នៅល្បឿន 8.07 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 141 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 8.07, 'distance': 6.02, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 141, 'is_clockwise': True, 'unit': 'degree'}}"
"បកក្រោយ 13.22 ម៉ែត្រ នៅល្បឿន 1.28 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 21 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 1.28, 'distance': 13.22, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 21, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 6.13 ម៉ែត្រ នៅល្បឿន 2.29 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 160 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 2.29, 'distance': 6.13, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 160, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 2.66 ម៉ែត្រ នៅល្បឿន 8.67 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 122 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 8.67, 'distance': 2.66, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 122, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 4.59 ម៉ែត្រ នៅល្បឿន 4.83 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 103 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 4.83, 'distance': 4.59, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 103, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 10.79 ម៉ែត្រ នៅល្បឿន 7.02 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 289 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 7.02, 'distance': 10.79, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 289, 'is_clockwise': True, 'unit': 'degree'}}"
"បកក្រោយ 8.33 ម៉ែត្រ នៅល្បឿន 9.32 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 204 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 9.32, 'distance': 8.33, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 204, 'is_clockwise': True, 'unit': 'degree'}}"
"បកក្រោយ 9.23 ម៉ែត្រ នៅល្បឿន 4.53 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 212 ដឺក្រេ។"                      ,"{'action': 'move', 'params': {'linear_speed': 4.53, 'distance': 9.23, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 212, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 7.24 ម៉ែត្រ នៅល្បឿន 8.95 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 199 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 8.95, 'distance': 7.24, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 199, 'is_clockwise': True, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 8.76 ម៉ែត្រ នៅល្បឿន 2.28 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 217 ដឺក្រេ។"                  ,"{'action': 'move', 'params': {'linear_speed': 2.28, 'distance': 8.76, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 217, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 18.62 ម៉ែត្រ នៅល្បឿន 6.83 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 349 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 6.83, 'distance': 18.62, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 349, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 5.08 ម៉ែត្រ នៅល្បឿន 5.19 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 329 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 5.19, 'distance': 5.08, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 329, 'is_clockwise': True, 'unit': 'degree'}}"
"បកក្រោយ 3.4 ម៉ែត្រ នៅល្បឿន 7.83 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 131 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 7.83, 'distance': 3.4, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 131, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 9.67 ម៉ែត្រ នៅល្បឿន 1.89 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 163 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 1.89, 'distance': 9.67, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 163, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 2.43 ម៉ែត្រ នៅល្បឿន 8.43 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 44 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 8.43, 'distance': 2.43, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 44, 'is_clockwise': True, 'unit': 'degree'}}"
"បកក្រោយ 10.34 ម៉ែត្រ នៅល្បឿន 5.63 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 158 ដឺក្រេ។"                      ,"{'action': 'move', 'params': {'linear_speed': 5.63, 'distance': 10.34, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 158, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 12.22 ម៉ែត្រ នៅល្បឿន 2.25 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 89 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 2.25, 'distance': 12.22, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 89, 'is_clockwise': True, 'unit': 'degree'}}"
"បកក្រោយ 9.69 ម៉ែត្រ នៅល្បឿន 1.64 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 160 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 1.64, 'distance': 9.69, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 160, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 14.98 ម៉ែត្រ នៅល្បឿន 5.47 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 23 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 5.47, 'distance': 14.98, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 23, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 17.31 ម៉ែត្រ នៅល្បឿន 5.14 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែស្ដាំ 91 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 5.14, 'distance': 17.31, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 91, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 7.39 ម៉ែត្រ នៅល្បឿន 6.93 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 198 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 6.93, 'distance': 7.39, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 198, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 19.32 ម៉ែត្រ នៅល្បឿន 6.0 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 298 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 6.0, 'distance': 19.32, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 298, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 6.05 ម៉ែត្រ នៅល្បឿន 5.42 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 280 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 5.42, 'distance': 6.05, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 280, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 18.51 ម៉ែត្រ នៅល្បឿន 5.65 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 204 ដឺក្រេ។"                       ,"{'action': 'move', 'params': {'linear_speed': 5.65, 'distance': 18.51, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 204, 'is_clockwise': False, 'unit': 'degree'}}"
"ទៅមុខ 7.94 ម៉ែត្រ នៅល្បឿន 9.89 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ឆ្វេង 130 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 9.89, 'distance': 7.94, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 130, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 19.48 ម៉ែត្រ នៅល្បឿន 7.21 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 320 ដឺក្រេ។"                        ,"{'action': 'move', 'params': {'linear_speed': 7.21, 'distance': 19.48, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 320, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 1.32 ម៉ែត្រ នៅល្បឿន 6.0 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 101 ដឺក្រេ។"                            ,"{'action': 'move', 'params': {'linear_speed': 6.0, 'distance': 1.32, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 101, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 7.97 ម៉ែត្រ នៅល្បឿន 6.54 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 333 ដឺក្រេ។"                           ,"{'action': 'move', 'params': {'linear_speed': 6.54, 'distance': 7.97, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 333, 'is_clockwise': True, 'unit': 'degree'}}"
"បកក្រោយ 2.25 ម៉ែត្រ នៅល្បឿន 3.8 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 120 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 3.8, 'distance': 2.25, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 120, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 6.6 ម៉ែត្រ នៅល្បឿន 8.35 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 273 ដឺក្រេ។"                         ,"{'action': 'move', 'params': {'linear_speed': 8.35, 'distance': 6.6, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 273, 'is_clockwise': False, 'unit': 'degree'}}"
"ត្រឡប់ទៅក្រោយ 12.5 ម៉ែត្រ នៅល្បឿន 2.7 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បត់ស្ដាំ 110 ដឺក្រេ។"                      ,"{'action': 'move', 'params': {'linear_speed': 2.7, 'distance': 12.5, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 110, 'is_clockwise': True, 'unit': 'degree'}}"
"ទៅមុខ 1.83 ម៉ែត្រ នៅល្បឿន 1.5 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 69 ដឺក្រេ។"                          ,"{'action': 'move', 'params': {'linear_speed': 1.5, 'distance': 1.83, 'is_forward': True, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 69, 'is_clockwise': False, 'unit': 'degree'}}"
"បកក្រោយ 3.94 ម៉ែត្រ នៅល្បឿន 4.61 ម៉ែត្រ/វិនាទី, បន្ទាប់មក បង្វែឆ្វេង 334 ដឺក្រេ។"                      ,"{'action': 'move', 'params': {'linear_speed': 4.61, 'distance': 3.94, 'is_forward': False, 'unit': 'meter'}}\n{'action': 'rotate', 'params': {'angle': 334, 'is_clockwise': False, 'unit': 'degree'}}"
