input                                                                                                                 ,output
"['រ៉ូបូតទៅមុខដប់បីក្បៀសម្ភៃប្រាំពីរម៉ែត្រ', 'ទៅមុខបន្ថែមទៀតទៅ', 'រួចហើយមកវិញ']"                                                       ,"[{'action': 'move', 'params': {'distance':  13.27, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  13.27, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  26.54, 'is_forward':  false, 'unit': 'meter'}}]"
"['កូនរ៉ូបូតទៅមុខពីរក្បៀសចិតសិបប្រាំមួយម៉ែត្រ', 'បន្តទៅមុខទៀត', 'រ៉ូបូតថយមកវិញ']"                                                         ,"[{'action': 'move', 'params': {'distance':  2.76, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  2.76, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  5.52, 'is_forward':  false, 'unit': 'meter'}}]"
"['ចូលរ៉ូបូតទៅមុខដប់ពីរក្បៀសកៅសិបមួយម៉ែត្រ', 'ទៅមុខបន្ថែមទៀត', 'ថយមកកន្លែងដើមវិញ']"                                                   ,"[{'action': 'move', 'params': {'distance':  12.91, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  12.91, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  25.82, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតធ្វើដំណើរទៅមុខម្ភៃប្រាំមួយក្បៀសប្រាំពីរម៉ែត្រ', 'រ៉ូបូតបន្តបើកទៅមុខទៀត', 'រ៉ូបូតមកថយទៅវិញ']"                                       ,"[{'action': 'move', 'params': {'distance':  26.07, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  26.07, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  52.14, 'is_forward':  false, 'unit': 'meter'}}]"
"['មករ៉ូបូតផ្លាស់ទីទៅមុខដប់ប្រាំបួនក្បៀសហុកសិបបួនម៉ែត្រ', 'រ៉ូបូតយើងទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                      ,"[{'action': 'move', 'params': {'distance':  19.64, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  19.64, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  39.28, 'is_forward':  false, 'unit': 'meter'}}]"
"['រ៉ូបូតទៅមុខប្រាំបីក្បៀសកៅសិបមួយម៉ែត្រ', 'ទៅមុខថែមទៀតទៅ', 'រួចហើយថយមកវិញ']"                                                        ,"[{'action': 'move', 'params': {'distance':  8.91, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  8.91, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  17.82, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះបើកទៅមុខបួនក្បៀសម្ភៃបីម៉ែត្រ', 'ទៅម្ដងទៀត', 'ថយទៅកន្លែងចាប់ផ្ដើមវិញ']"                                                      ,"[{'action': 'move', 'params': {'distance':  4.23, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  4.23, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  8.46, 'is_forward':  false, 'unit': 'meter'}}]"
"['ចូលទៅមុខសាមសិបពីរក្បៀសហុកសិបប្រាំមួយម៉ែត្រ', 'ទៅមុខបន្តទៀត', 'ថយមកកន្លែងដើមវិញ']"                                                  ,"[{'action': 'move', 'params': {'distance':  32.66, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  32.66, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  65.32, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតធ្វើដំណើរទៅមុខសែសិបបីក្បៀសសាមសិបម៉ែត្រ', 'រ៉ូបូតបន្តទៅមុខទៀត', 'រ៉ូបូតមកថយទៅវិញ']"                                             ,"[{'action': 'move', 'params': {'distance':  43.3, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  43.3, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  86.6, 'is_forward':  false, 'unit': 'meter'}}]"
"['កូនរ៉ូបូតទៅមុខចំងាយម្ភៃប្រាំមួយក្បៀសសាមសិបប្រាំម៉ែត្រ', 'តោះទៅបន្ថែមទៀត', 'ទៅវិញ']"                                                  ,"[{'action': 'move', 'params': {'distance':  26.35, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  26.35, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  52.7, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះបើកទៅមុខបួនក្បៀសចិតសិបមួយម៉ែត្រ', 'ទៅ', 'ថយទៅកន្លែងដើមវិញ']"                                                              ,"[{'action': 'move', 'params': {'distance':  4.71, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  4.71, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  9.42, 'is_forward':  false, 'unit': 'meter'}}]"
"['មករ៉ូបូតផ្លាស់ទីទៅមុខដប់បួនក្បៀសចិតសិបមួយម៉ែត្រ', 'រ៉ូបូតទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                            ,"[{'action': 'move', 'params': {'distance':  14.71, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  14.71, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  29.42, 'is_forward':  false, 'unit': 'meter'}}]"
"['កូនរ៉ូបូតទៅមុខចម្ងាយបីក្បៀសសាមសិបប្រាំពីរម៉ែត្រ', 'តោះទៀត', 'បើកមកវិញ']"                                                          ,"[{'action': 'move', 'params': {'distance':  3.37, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  3.37, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  6.74, 'is_forward':  false, 'unit': 'meter'}}]"
"['ហេរ៉ូបូតទៅមុខសាមសិបបួនក្បៀសហាសិបបីម៉ែត្រ', 'ធ្វើដំណើរទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                           ,"[{'action': 'move', 'params': {'distance':  34.53, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  34.53, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  69.06, 'is_forward':  false, 'unit': 'meter'}}]"
"['ហេរ៉ូបូតទៅមុខដប់ប្រាំពីរក្បៀសកៅសិបប្រាំបួនម៉ែត្រ', 'ធ្វើដំណើរទៅមុខទៀត', 'ថយមករកកន្លែងចាប់ផ្ដើមវិញ']"                                     ,"[{'action': 'move', 'params': {'distance':  17.99, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  17.99, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  35.98, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខប្រវែងសែសិបប្រាំមួយក្បៀសដប់មួយម៉ែត្រ', 'តោះទៅទៀតទៅ', 'ជិះទៅវិញ']"                                                          ,"[{'action': 'move', 'params': {'distance':  46.11, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  46.11, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  92.22, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះជិះទៅមុខម្ភៃពីរក្បៀសហុកសិបបីម៉ែត្រ', 'បើកទៅមុខទៀត', 'ថយទៅវិញ']"                                                             ,"[{'action': 'move', 'params': {'distance':  22.63, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  22.63, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  45.26, 'is_forward':  false, 'unit': 'meter'}}]"
"['អ្នកផ្លាស់ទីទៅមុខដប់បួនក្បៀសដប់បួនម៉ែត្រ', 'រ៉ូបូតទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                                ,"[{'action': 'move', 'params': {'distance':  14.14, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  14.14, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  28.28, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតទៅមុខសាមសិបពីរក្បៀសម្ភៃពីរម៉ែត្រ', 'រ៉ូបូតបន្តបើកទៅទៀត', 'មកវិញ']"                                                        ,"[{'action': 'move', 'params': {'distance':  32.22, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  32.22, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  64.44, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខសាមសិបបីក្បៀសប៉ែតសិបប្រាំបួនម៉ែត្រ', 'ទៅទៀត', 'បន្ទាបមកថយក្រោយមកវិញ']"                                                      ,"[{'action': 'move', 'params': {'distance':  33.89, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  33.89, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  67.78, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខនោះម្ភៃប្រាំពីរក្បៀសម្ភៃប្រាំពីរម៉ែត្រ', 'បន្តទៀត', 'រ៉ូបូតថយមកក្រោយវិញ']"                                                      ,"[{'action': 'move', 'params': {'distance':  27.27, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  27.27, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  54.54, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះធ្វើដំណើរទៅមុខដប់បីក្បៀសដប់ពីរម៉ែត្រ', 'រ៉ូបូតបើកបន្តទៅមុខទៀត', 'មករ៉ូបូតថយទៅវិញ']"                                                ,"[{'action': 'move', 'params': {'distance':  13.12, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  13.12, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  26.24, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតធ្វើដំណើរទៅមុខដប់ប្រាំបីក្បៀសហុកសិបប្រាំបីម៉ែត្រ', 'រ៉ូបូតបន្តបើកទៅមុខទៀត', 'ចូលអ្នកថយទៅវិញ']"                                      ,"[{'action': 'move', 'params': {'distance':  18.68, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  18.68, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  37.36, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះធ្វើដំណើរទៅមុខដប់ប្រាំបីក្បៀសកៅសិបមួយម៉ែត្រ', 'រ៉ូបូតបើកបន្តទៅមុខទៀត', 'មករ៉ូបូតថយទៅវិញ']"                                           ,"[{'action': 'move', 'params': {'distance':  18.91, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  18.91, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  37.82, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះបើកទៅមុខម្ភៃពីរក្បៀសសាមសិបបីម៉ែត្រ', 'ទៅទៀតចុះ', 'ថយទៅកន្លែងចាប់ផ្ដើមវិញ']"                                                  ,"[{'action': 'move', 'params': {'distance':  22.33, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  22.33, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  44.66, 'is_forward':  false, 'unit': 'meter'}}]"
"['មករ៉ូបូតទៅមុខសែសិបបួនក្បៀសហុកសិបប្រាំម៉ែត្រ', 'ធ្វើដំណើរទៅទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                            ,"[{'action': 'move', 'params': {'distance':  44.65, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  44.65, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  89.3, 'is_forward':  false, 'unit': 'meter'}}]"
"['ចូលរ៉ូបូតទៅមុខសាមសិបប្រាំបួនក្បៀសហុកសិបពីរម៉ែត្រ', 'ទៅមុខបន្ថែមទៀត', 'ថយមកវិញមក']"                                                   ,"[{'action': 'move', 'params': {'distance':  39.62, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  39.62, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  79.24, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខប្រវែងមុខសាមសិបប្រាំក្បៀសហុកសិបប្រាំមួយម៉ែត្រ', 'ទៅ', 'ថយក្រោយទៅវិញ']"                                                        ,"[{'action': 'move', 'params': {'distance':  35.66, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  35.66, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  71.32, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតទៅមុខបីក្បៀសដប់ប្រាំបួនម៉ែត្រ', 'រ៉ូបូតបន្តបើកទៅទៀត', 'មកវិញ']"                                                            ,"[{'action': 'move', 'params': {'distance':  3.19, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  3.19, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  6.38, 'is_forward':  false, 'unit': 'meter'}}]"
"['ផ្លាស់ទីទៅមុខបីក្បៀសហាសិបបីម៉ែត្រ', 'រ៉ូបូតទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                                     ,"[{'action': 'move', 'params': {'distance':  3.53, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  3.53, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  7.06, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះបើកទៅមុខដប់ប្រាំមួយក្បៀសកៅសិបមួយម៉ែត្រ', 'ទៅទៀតចុះ', 'ថយទៅកន្លែងដើមវិញ']"                                                    ,"[{'action': 'move', 'params': {'distance':  16.91, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  16.91, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  33.82, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខចំងាយប្រាំពីរក្បៀសដប់ប្រាំមួយម៉ែត្រ', 'តោះទៅទៀតទៅ', 'បើកទៅវិញ']"                                                           ,"[{'action': 'move', 'params': {'distance':  7.16, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  7.16, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  14.32, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះធ្វើដំណើរទៅមុខម្ភៃបួនក្បៀសកៅសិបប្រាំពីរម៉ែត្រ', 'រ៉ូបូតបើកបន្តទៅមុខទៀត', 'មករ៉ូបូតថយទៅវិញ']"                                         ,"[{'action': 'move', 'params': {'distance':  24.97, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  24.97, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  49.94, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខប្រវែងមុខដប់ប្រាំក្បៀសសាមសិបប្រាំម៉ែត្រ', 'តោះទៅទៀតទៅ', 'ថយទៅវិញ']"                                                        ,"[{'action': 'move', 'params': {'distance':  15.35, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  15.35, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  30.7, 'is_forward':  false, 'unit': 'meter'}}]"
"['រ៉ូបូតផ្លាស់ទីទៅមុខម្ភៃប្រាំក្បៀសម្ភៃប្រាំពីរម៉ែត្រ', 'រ៉ូបូតយើងបន្តទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                    ,"[{'action': 'move', 'params': {'distance':  25.27, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  25.27, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  50.54, 'is_forward':  false, 'unit': 'meter'}}]"
"['មករ៉ូបូតផ្លាស់ទីទៅមុខសែសិបប្រាំមួយក្បៀសម្ភៃប្រាំបីម៉ែត្រ', 'រ៉ូបូតយើងបន្តរទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                               ,"[{'action': 'move', 'params': {'distance':  46.28, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  46.28, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  92.56, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះជិះទៅមុខម្ភៃប្រាំពីរក្បៀសប្រាំបីម៉ែត្រ', 'ជិះទៅមុខទៀត', 'ទៅថយទៅវិញ']"                                                          ,"[{'action': 'move', 'params': {'distance':  27.08, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  27.08, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  54.16, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះធ្វើដំណើរទៅមុខសែសិបប្រាំបីក្បៀសហុកសិបប្រាំម៉ែត្រ', 'រ៉ូបូតបើកទៅមុខទៀត', 'រ៉ូបូតថយទៅវិញ']"                                             ,"[{'action': 'move', 'params': {'distance':  48.65, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  48.65, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  97.3, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតធ្វើដំណើរទៅមុខម្ភៃបួនម៉ែត្រ', 'រ៉ូបូតបន្តទៅមុខទៀត', 'រ៉ូបូតមកថយទៅវិញ']"                                                      ,"[{'action': 'move', 'params': {'distance':  24.0, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  24.0, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  48.0, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះទៅប្រាំក្បៀសប៉ែតសិបម៉ែត្រ', 'ទៅទៀត', 'ថយមកវិញ']"                                                                        ,"[{'action': 'move', 'params': {'distance':  5.8, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  5.8, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  11.6, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខប្រវែងមួយក្បៀសសាមសិបម៉ែត្រ', 'តោះទៅទៀតទៅ', 'ជិះទៅវិញ']"                                                                ,"[{'action': 'move', 'params': {'distance':  1.3, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  1.3, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  2.6, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះបើកទៅមុខសាមសិបប្រាំបីក្បៀសប៉ែតសិបបីម៉ែត្រ', 'បើកទៅមុខទៀត', 'ថយទៅកន្លែងចាប់ផ្ដើមវិញ']"                                           ,"[{'action': 'move', 'params': {'distance':  38.83, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  38.83, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  77.66, 'is_forward':  false, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតធ្វើដំណើរទៅមុខសាមសិបប្រាំបួនក្បៀសបួនម៉ែត្រ', 'រ៉ូបូតបើកទៅមុខទៀត', 'រ៉ូបូតមកថយទៅវិញ']"                                           ,"[{'action': 'move', 'params': {'distance':  39.04, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  39.04, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  78.08, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខប្រវែងមុខប្រាំក្បៀសប៉ែតសិបប្រាំបីម៉ែត្រ', 'ទៅ', 'ថយទៅវិញ']"                                                                 ,"[{'action': 'move', 'params': {'distance':  5.88, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  5.88, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  11.76, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខសាមសិបពីរក្បៀសចិតសិបបួនម៉ែត្រ', 'ទៅទៀត', 'បន្ទាបមកថយក្រោយមកវិញ']"                                                         ,"[{'action': 'move', 'params': {'distance':  32.74, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  32.74, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  65.48, 'is_forward':  false, 'unit': 'meter'}}]"
"['មករ៉ូបូតផ្លាស់ទីទៅមុខសែសិបបួនក្បៀសម្ភៃប្រាំបីម៉ែត្រ', 'រ៉ូបូតទៅមុខទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                         ,"[{'action': 'move', 'params': {'distance':  44.28, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  44.28, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  88.56, 'is_forward':  false, 'unit': 'meter'}}]"
"['ទៅមុខប្រវែងមុខដប់ប្រាំក្បៀសហាសិបប្រាំបួនម៉ែត្រ', 'ទៅ', 'ថយក្រោយទៅវិញ']"                                                           ,"[{'action': 'move', 'params': {'distance':  15.59, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  15.59, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  31.18, 'is_forward':  false, 'unit': 'meter'}}]"
"['កូនរ៉ូបូតទៅមុខសែសិបប្រាំក្បៀសហាសិបបួនម៉ែត្រ', 'បន្តទៅមុខបន្ថែមទៀត', 'រ៉ូបូតថយមកវិញ']"                                                  ,"[{'action': 'move', 'params': {'distance':  45.54, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  45.54, 'is_forward':  true, 'unit': 'meter'}},{'action': 'move', 'params': {'distance':  91.08, 'is_forward':  false, 'unit': 'meter'}}]"
